:IngredientName,IngredientType,Unit,Unit,Recipe
EDIT_PRE_PBS_Gas4_HT,Analog,EDIT_PRE_PBS_Gas4_HT,,0
EDIT_PRE_PBS_Gas4_HR,Analog,EDIT_PRE_PBS_Gas4_HR,,0
EDIT_PRE_PBS_Sply_StVal,Analog,EDIT_PRE_PBS_Sply_StVal,,0
EDIT_PRE_PBS_Sply_EnVal,Analog,EDIT_PRE_PBS_Sply_EnVal,,0
EDIT_PRE_PBS_Sply_RTp,Analog,EDIT_PRE_PBS_Sply_RTp,,0
EDIT_PRE_PBS_Sply_RT,Analog,EDIT_PRE_PBS_Sply_RT,,0
EDIT_PRE_PBS_Sply_RR,Analog,EDIT_PRE_PBS_Sply_RR,,0
EDIT_PRE_PBS_Sply_HT,Analog,EDIT_PRE_PBS_Sply_HT,,0
EDIT_PRE_PBS_Sply_HR,Analog,EDIT_PRE_PBS_Sply_HR,,0
EDIT_PRE_PBS_MBoxPosC1,Analog,EDIT_PRE_PBS_MBoxPosC1,,0
EDIT_PRE_PBS_MBoxPosC2,Analog,EDIT_PRE_PBS_MBoxPosC2,,0
EDIT_PRE_PBS_MBoxPosC3,Analog,EDIT_PRE_PBS_MBoxPosC3,,0
EDIT_PRE_PBS_PlasPrSl,Analog,EDIT_PRE_PBS_PlasPrSl,,0
EDIT_PRE_PBS_PSTngPrSl,Analog,EDIT_PRE_PBS_PSTngPrSl,,1
EDIT_PRE_PVD1_LS_StVal,Analog,EDIT_PRE_PVD1_LS_StVal,,0
EDIT_PRE_PVD1_LS_EnVal,Analog,EDIT_PRE_PVD1_LS_EnVal,,0
EDIT_PRE_PVD1_LS_RTp,Analog,EDIT_PRE_PVD1_LS_RTp,,0
EDIT_PRE_PVD1_LS_RT,Analog,EDIT_PRE_PVD1_LS_RT,,0
EDIT_PRE_PVD1_LS_RR,Analog,EDIT_PRE_PVD1_LS_RR,,0
EDIT_PRE_PVD1_LS_HT,Analog,EDIT_PRE_PVD1_LS_HT,,0
EDIT_PRE_PVD1_LS_HR,Analog,EDIT_PRE_PVD1_LS_HR,,0
EDIT_PRE_PVD1_LSVoltCtrlrOn,Analog,EDIT_PRE_PVD1_LSVoltCtrlrOn,,0
EDIT_PRE_PVD1_LSCCtrlLoopMode,Analog,EDIT_PRE_PVD1_LSCCtrlLoopMode,,1
EDIT_PRE_PVD1_Gas1_StVal,Analog,EDIT_PRE_PVD1_Gas1_StVal,,0
