:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_NAME",Message,"EDIT_LAYER_NAME","TEST_LAYERNAME","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_PRE_PBS_Gas1_StVal",Analog,"EDIT_PRE_PBS_Gas1_StVal","","0","0","0","0","15","0","0","0","0","0","15","15","15"
"EDIT_PRE_PBS_Gas1_EnVal",Analog,"EDIT_PRE_PBS_Gas1_EnVal","","0","0","0","0","15","0","0","0","0","0","15","15","15"
"EDIT_PRE_PBS_Gas1_RTp",Analog,"EDIT_PRE_PBS_Gas1_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas1_RT",Analog,"EDIT_PRE_PBS_Gas1_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas1_RR",Analog,"EDIT_PRE_PBS_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas1_HT",Analog,"EDIT_PRE_PBS_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas1_HR",Analog,"EDIT_PRE_PBS_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas2_StVal",Analog,"EDIT_PRE_PBS_Gas2_StVal","","0","0","20","20","4","20","20","20","20","20","15","15","15"
"EDIT_PRE_PBS_Gas2_EnVal",Analog,"EDIT_PRE_PBS_Gas2_EnVal","","0","0","25","30","4","25","30","30","25","30","4","4","4"
"EDIT_PRE_PBS_Gas2_RTp",Analog,"EDIT_PRE_PBS_Gas2_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas2_RT",Analog,"EDIT_PRE_PBS_Gas2_RT","","0","0","0","0","0","0","0","0","0","0","3","3","3"
"EDIT_PRE_PBS_Gas2_RR",Analog,"EDIT_PRE_PBS_Gas2_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas2_HT",Analog,"EDIT_PRE_PBS_Gas2_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas2_HR",Analog,"EDIT_PRE_PBS_Gas2_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_StVal",Analog,"EDIT_PRE_PBS_Gas3_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_EnVal",Analog,"EDIT_PRE_PBS_Gas3_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_RTp",Analog,"EDIT_PRE_PBS_Gas3_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_RT",Analog,"EDIT_PRE_PBS_Gas3_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_RR",Analog,"EDIT_PRE_PBS_Gas3_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_HT",Analog,"EDIT_PRE_PBS_Gas3_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas3_HR",Analog,"EDIT_PRE_PBS_Gas3_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_StVal",Analog,"EDIT_PRE_PBS_Gas4_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_EnVal",Analog,"EDIT_PRE_PBS_Gas4_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_RTp",Analog,"EDIT_PRE_PBS_Gas4_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_RT",Analog,"EDIT_PRE_PBS_Gas4_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_RR",Analog,"EDIT_PRE_PBS_Gas4_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_HT",Analog,"EDIT_PRE_PBS_Gas4_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Gas4_HR",Analog,"EDIT_PRE_PBS_Gas4_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Sply_StVal",Analog,"EDIT_PRE_PBS_Sply_StVal","","0","0","1000","1000","2000","1000","1000","1000","1000","1000","2000","2000","2000"
"EDIT_PRE_PBS_Sply_EnVal",Analog,"EDIT_PRE_PBS_Sply_EnVal","","0","0","2500","2500","2000","2500","1500","1500","2500","2500","2000","2000","2000"
"EDIT_PRE_PBS_Sply_RTp",Analog,"EDIT_PRE_PBS_Sply_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Sply_RT",Analog,"EDIT_PRE_PBS_Sply_RT","","0","0","5","5","0","5","5","5","5","5","0","0","0"
"EDIT_PRE_PBS_Sply_RR",Analog,"EDIT_PRE_PBS_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Sply_HT",Analog,"EDIT_PRE_PBS_Sply_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_Sply_HR",Analog,"EDIT_PRE_PBS_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_MBoxPosC1",Analog,"EDIT_PRE_PBS_MBoxPosC1","","0","0","25","25","25","25","20","20","25","25","25","25","25"
"EDIT_PRE_PBS_MBoxPosC2",Analog,"EDIT_PRE_PBS_MBoxPosC2","","0","0","75","75","75","75","75","75","75","75","75","75","75"
"EDIT_PRE_PBS_MBoxPosC3",Analog,"EDIT_PRE_PBS_MBoxPosC3","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PBS_PlasPrSl",Analog,"EDIT_PRE_PBS_PlasPrSl","","0","0","2","2","1","2","1","1","2","2","2","2","2"
"EDIT_PRE_PBS_PSTngPrSl",Analog,"EDIT_PRE_PBS_PSTngPrSl","","1","1","2","2","2","2","2","2","2","2","2","2","2"
"EDIT_PRE_PVD1_LS_StVal",Analog,"EDIT_PRE_PVD1_LS_StVal","","0","0","0","320","320","320","320","320","0","320","320","320","320"
"EDIT_PRE_PVD1_LS_EnVal",Analog,"EDIT_PRE_PVD1_LS_EnVal","","0","0","0","320","319","320","320","320","0","320","319","319","319"
"EDIT_PRE_PVD1_LS_RTp",Analog,"EDIT_PRE_PVD1_LS_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_LS_RT",Analog,"EDIT_PRE_PVD1_LS_RT","","0","0","0","3","3","3","3","3","0","3","3","3","3"
"EDIT_PRE_PVD1_LS_RR",Analog,"EDIT_PRE_PVD1_LS_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_LS_HT",Analog,"EDIT_PRE_PVD1_LS_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_LS_HR",Analog,"EDIT_PRE_PVD1_LS_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD1_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD1_LSVoltCtrlrOn","","0","0","0","318","310","315","315","315","0","318","310","310","310"
"EDIT_PRE_PVD1_LSCCtrlLoopMode",Analog,"EDIT_PRE_PVD1_LSCCtrlLoopMode","","1","1","2","2","2","2","2","2","2","2","2","2","2"
"EDIT_PRE_PVD1_Gas1_StVal",Analog,"EDIT_PRE_PVD1_Gas1_StVal","","0","0","0","40","35","40","40","40","0","40","35","35","35"
"EDIT_PRE_PVD1_Gas1_EnVal",Analog,"EDIT_PRE_PVD1_Gas1_EnVal","","0","0","0","25","25","25","25","25","0","25","25","25","25"
